acl 2.3.2-1
python-distlib 0.3.8-2
python-distro 1.9.0-2
python-dotenv 1.0.1-2
python-dulwich 0.22.1-1
python-fastapi 0.115.0-1
python-fastjsonschema 2.20.0-1
python-filelock 3.13.3-2
python-html5lib 1.1-14
python-idna 3.8-1
python-installer 0.7.0-8
python-jaraco.classes 3.4.0-1
python-jaraco.context 5.3.0-1
python-jaraco.functools 4.0.2-1
python-jaraco.text 4.0.0-1
python-jeepney 0.8.0-3
python-jinja 1:3.1.4-1
python-jsonschema 4.23.0-1
python-jsonschema-specifications 2023.12.1-2
python-keyring 25.2.1-1
python-lark-parser 1.1.9-3
python-lockfile 0.12.2-13
python-markupsafe 2.1.5-2
python-more-itertools 10.3.0-1
python-msgpack 1.0.5-2
python-ordered-set 4.1.0-5
python-packaging 24.1-1
python-paramiko 3.4.0-2
python-pexpect 4.9.0-2
python-pip 24.2-1
python-pipx 1.6.0-1
python-pkginfo 1.10.0-1
python-platformdirs 4.3.6-1
python-poetry 1.8.3-1
python-poetry-core 1.9.0-5
python-poetry-plugin-export 1.8.0-1
python-ptyprocess 0.7.0-6
python-pycparser 2.22-2
python-pydantic 2.9.2-1
python-pydantic-core 1:2.23.4-1
python-pydantic-extra-types 2.9.0-1
python-pydantic-settings 2.5.2-1
python-pynacl 1.5.0-2
python-pyproject-hooks 1.1.0-1
python-pytz 2024.2-1
python-rapidfuzz 3.6.2-3
python-referencing 0.35.1-1
python-requests 2.32.3-1
python-requests-toolbelt 1.0.0-2
python-resolvelib 1.0.1-2
python-rpds-py 0.19.0-1
python-secretstorage 3.3.3-5
python-setuptools 1:69.5.1-1
python-shellingham 1.5.4-2
python-six 1.16.0-9
python-sniffio 1.3.1-3
python-starlette 0.39.2-1
python-tomli 2.0.1-4
python-tomlkit 0.13.2-1
python-trove-classifiers 2024.9.12-1
python-typing_extensions 4.12.2-1
python-urllib3 1.26.20-1
python-userpath 1.9.2-2
python-validate-pyproject 0.19-1
python-virtualenv 20.26.2-1
python-webencodings 0.5.1-11
python-wheel 0.44.0-1
python-yaml 6.0.2-1
qbittorrent-nox 5.0.0-1
qt6-base 6.7.3-2
qt6-svg 6.7.3-1
qt6-translations 6.7.3-1
rclone 1.68.0-1
readline 8.2.013-1
rsync 3.3.0-2
run-parts 5.17-1
runc 1.1.14-1
sed 4.9-3
semver 7.6.3-1
shadow 4.16.0-1
shared-mime-info 2.4-1
sqlite 3.46.1-1
sudo 1.9.16-1
systemd 256.6-1
systemd-libs 256.6-1
systemd-sysvcompat 256.6-1
tailscale 1.74.1-1
talosctl 1.8.0-1
tar 1.35-2
texinfo 7.1.1-1
tmux 3.5-1
tpm2-tss 4.0.1-1
tree-sitter 0.23.2-1
tree-sitter-bash 0.23.1-1
tree-sitter-c 0.23.1-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-python 0.23.2-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
tzdata 2024b-2
unibilium 2.1.1-2
util-linux 2.40.2-1
util-linux-libs 2.40.2-1
vi 1:070224-6
vulkan-headers 1:1.3.295-1
wayland 1.23.1-1
wget 1.24.5-3
which 2.21-6
xcb-proto 1.17.0-2
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
